iter	Passed	Remaining
907	1867	189
908	1868	187
909	1870	185
910	1873	183
911	1875	180
912	1877	178
913	1880	176
914	1882	174
915	1884	172
916	1886	170
917	1888	168
918	1889	166
919	1891	164
920	1893	162
921	1895	160
922	1897	158
923	1898	156
924	1900	154
925	1902	152
926	1904	149
927	1906	147
928	1907	145
929	1909	143
930	1911	141
931	1913	139
932	1914	137
933	1916	135
934	1918	133
935	1920	131
936	1921	129
937	1923	127
938	1925	125
939	1927	123
940	1929	120
941	1931	118
942	1932	116
943	1934	114
944	1936	112
945	1938	110
946	1940	108
947	1942	106
948	1943	104
949	1945	102
950	1947	100
951	1949	98
952	1951	96
953	1953	94
954	1955	92
955	1956	90
956	1958	88
957	1960	85
958	1962	83
959	1964	81
960	1965	79
961	1967	77
962	1969	75
963	1971	73
964	1972	71
965	1974	69
966	1976	67
967	1978	65
968	1980	63
969	1981	61
970	1983	59
971	1985	57
972	1987	55
973	1989	53
974	1992	51
975	1994	49
976	1996	47
977	1999	44
978	2001	42
979	2003	40
980	2006	38
981	2008	36
982	2010	34
983	2013	32
984	2015	30
985	2017	28
986	2019	26
987	2020	24
988	2022	22
989	2024	20
990	2026	18
991	2028	16
992	2030	14
993	2031	12
994	2033	10
995	2035	8
996	2037	6
997	2039	4
998	2040	2
999	2042	0
